Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
20,,9/24/2015 8:27:56 AM,0,2.9261,29.223,197,0.50341,0.56061,0.59494,0.99823,1.0926
54,,9/24/2015 8:28:08 AM,0,2.39,-273.15,494,0.67284,0.86909,0.79433,0.82236,0.8574
255,,9/24/2015 8:28:12 AM,0,2.9261,29.738,634,1.4187,1.3758,1.1813,0.95533,0.78085
10,,9/24/2015 8:28:32 AM,0,2.8398,29.566,464,0.83279,0.58573,0.46914,0.51633,0.55241
13,,9/24/2015 8:28:33 AM,0,3.0397,25.602,853,1.3609,0.70124,0.50513,0.49622,0.51404
11,,9/24/2015 8:28:33 AM,0,3.0323,27.105,751,1.4524,0.76179,0.53651,0.53651,0.56912
24,,9/24/2015 8:28:35 AM,10,2.9398,29.394,338,0.53163,0.44542,0.45404,0.47703,0.51439
53,,9/24/2015 8:28:38 AM,24,2.8593,25.27,16,0.44999,0.43042,0.46676,0.5534,0.71831
40,,9/24/2015 8:28:45 AM,20,2.7707,31.915,230,0.64731,0.5471,0.57147,0.65272,0.73939
3,,9/24/2015 8:28:50 AM,0,2.9889,29.652,499,1.3528,1.2797,1.2505,0.7538,0.57558
20,,9/24/2015 8:28:55 AM,0,2.9261,29.308,200,0.50627,0.56633,0.59208,0.99537,1.0926
